assignments_nb,travel_cost,corresponding_specialities_nb
123,182,32
mission_id,employee_id,center_id
1,0,0
2,0,0
3,4,1
4,6,1
5,14,2
6,9,2
7,3,1
8,12,2
9,7,1
10,1,1
11,0,0
12,7,1
13,9,2
14,10,2
15,14,2
16,3,1
17,1,1
18,13,2
19,5,1
20,4,1
21,8,1
22,14,2
23,3,1
24,12,2
25,7,1
26,2,1
27,13,2
28,5,1
29,0,0
30,1,1
31,0,0
32,0,0
33,2,1
34,7,1
35,14,2
36,13,2
37,1,1
38,11,2
39,5,1
40,3,1
41,8,1
42,9,2
43,5,1
44,12,2
45,7,1
46,10,2
47,11,2
48,4,1
49,0,0
50,3,1
51,0,0
52,0,0
53,7,1
54,10,2
55,14,2
56,11,2
57,3,1
58,4,1
59,1,1
60,12,2
61,8,1
62,2,1
63,1,1
64,6,1
65,14,2
66,7,1
67,13,2
68,4,1
69,0,0
70,0,0
71,0,0
72,0,0
73,7,1
74,14,2
75,8,1
76,0,0
77,0,0
78,3,1
79,11,2
80,1,1
81,14,2
82,9,2
83,1,1
84,3,1
85,10,2
86,7,1
87,13,2
88,6,1
89,0,0
90,12,2
91,8,1
92,0,0
93,10,2
94,7,1
95,2,1
96,13,2
97,12,2
98,6,1
99,11,2
100,3,1
101,8,1
102,2,1
103,11,2
104,0,0
105,10,2
106,0,0
107,13,2
108,5,1
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,2,1
116,0,0
117,0,0
118,12,2
119,0,0
120,6,1
121,9,2
122,10,2
123,4,1
124,6,1
125,0,0
126,0,0
127,0,0
128,11,2
129,0,0
130,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,8,1
136,0,0
137,0,0
138,0,0
139,0,0
140,4,1
141,0,0
142,0,0
143,6,1
144,13,2
145,2,1
146,0,0
147,0,0
148,1,1
149,14,2
150,0,0
151,0,0
152,0,0
153,0,0
154,0,0
155,2,1
156,0,0
157,0,0
158,0,0
159,0,0
160,6,1
161,10,2
162,9,2
163,12,2
164,5,1
165,0,0
166,0,0
167,3,1
168,11,2
169,0,0
170,0,0
171,0,0
172,0,0
173,0,0
174,0,0
175,9,2
176,0,0
177,0,0
178,4,1
179,13,2
180,6,1
181,0,0
182,2,1
183,4,1
184,5,1
185,0,0
186,0,0
187,0,0
188,11,2
189,8,1
190,0,0
191,0,0
192,0,0
193,0,0
194,0,0
195,14,2
196,0,0
197,0,0
198,0,0
199,0,0
200,5,1
