assignments_nb,travel_cost,corresponding_specialities_nb
77,89,29
mission_id,employee_id,center_id
1,5,2
2,6,2
3,2,1
4,0,0
5,2,1
6,0,0
7,0,0
8,5,2
9,6,2
10,3,1
11,1,1
12,0,0
13,1,1
14,4,2
15,3,1
16,4,2
17,0,0
18,0,0
19,6,2
20,2,1
21,5,2
22,5,2
23,2,1
24,6,2
25,4,2
26,1,1
27,3,1
28,3,1
29,1,1
30,4,2
31,5,2
32,2,1
33,2,1
34,6,2
35,5,2
36,3,1
37,1,1
38,1,1
39,3,1
40,4,2
41,5,2
42,0,0
43,2,1
44,5,2
45,6,2
46,2,1
47,0,0
48,6,2
49,1,1
50,4,2
51,3,1
52,1,1
53,4,2
54,1,1
55,3,1
56,0,0
57,5,2
58,6,2
59,0,0
60,5,2
61,2,1
62,6,2
63,5,2
64,6,2
65,2,1
66,6,2
67,2,1
68,5,2
69,0,0
70,2,1
71,0,0
72,6,2
73,2,1
74,5,2
75,0,0
76,4,2
77,1,1
78,3,1
79,1,1
80,3,1
81,4,2
82,3,1
83,1,1
84,4,2
85,4,2
86,3,1
87,1,1
88,0,0
89,0,0
90,0,0
91,1,1
92,4,2
93,0,0
94,3,1
