assignments_nb,travel_cost,corresponding_specialities_nb
77,80,30
mission_id,employee_id,center_id
1,0,0
2,2,1
3,5,3
4,2,1
5,5,3
6,6,3
7,6,3
8,0,0
9,0,0
10,4,2
11,3,2
12,0,0
13,3,2
14,1,1
15,0,0
16,1,1
17,0,0
18,4,2
19,5,3
20,6,3
21,2,1
22,2,1
23,5,3
24,6,3
25,1,1
26,3,2
27,4,2
28,4,2
29,3,2
30,1,1
31,2,1
32,6,3
33,6,3
34,2,1
35,5,3
36,1,1
37,3,2
38,3,2
39,4,2
40,1,1
41,5,3
42,6,3
43,2,1
44,5,3
45,0,0
46,2,1
47,6,3
48,0,0
49,3,2
50,1,1
51,4,2
52,1,1
53,0,0
54,1,1
55,4,2
56,3,2
57,6,3
58,0,0
59,0,0
60,5,3
61,6,3
62,2,1
63,0,0
64,2,1
65,5,3
66,2,1
67,5,3
68,6,3
69,2,1
70,5,3
71,0,0
72,2,1
73,6,3
74,5,3
75,6,3
76,1,1
77,3,2
78,4,2
79,3,2
80,0,0
81,1,1
82,4,2
83,3,2
84,1,1
85,1,1
86,3,2
87,4,2
88,0,0
89,0,0
90,4,2
91,4,2
92,1,1
93,0,0
94,3,2
