assignments_nb,travel_cost,corresponding_specialities_nb
60,90,34
mission_id,employee_id,center_id
1,1,1
2,6,2
3,5,2
4,2,2
5,3,1
6,4,1
7,3,1
8,5,2
9,4,1
10,1,1
11,6,2
12,0,0
13,2,2
14,5,2
15,4,1
16,3,1
17,1,1
18,2,2
19,6,2
20,0,0
21,3,1
22,2,2
23,6,2
24,4,1
25,5,2
26,1,1
27,6,2
28,2,2
29,5,2
30,4,1
31,1,1
32,3,1
33,2,2
34,5,2
35,3,1
36,1,1
37,6,2
38,4,1
39,2,2
40,1,1
41,5,2
42,6,2
43,4,1
44,3,1
45,4,1
46,0,0
47,1,1
48,5,2
49,3,1
50,2,2
51,6,2
52,6,2
53,3,1
54,1,1
55,5,2
56,0,0
57,2,2
58,2,2
59,4,1
60,1,1
61,6,2
62,0,0
63,0,0
64,5,2
65,3,1
66,4,1
