assignments_nb,travel_cost,corresponding_specialities_nb
110,807,31
mission_id,employee_id,center_id
1,8,2
2,11,2
3,5,1
4,0,0
5,11,2
6,0,0
7,8,2
8,0,0
9,6,1
10,1,1
11,4,1
12,3,1
13,7,2
14,9,2
15,3,1
16,7,2
17,9,2
18,4,1
19,6,1
20,11,2
21,5,1
22,2,1
23,0,0
24,0,0
25,9,2
26,3,1
27,7,2
28,0,0
29,4,1
30,7,2
31,5,1
32,2,1
33,0,0
34,2,1
35,6,1
36,0,0
37,10,2
38,9,2
39,1,1
40,10,2
41,8,2
42,0,0
43,2,1
44,6,1
45,8,2
46,11,2
47,5,1
48,0,0
49,4,1
50,9,2
51,1,1
52,4,1
53,1,1
54,9,2
55,0,0
56,7,2
57,6,1
58,12,2
59,5,1
60,6,1
61,2,1
62,11,2
63,0,0
64,0,0
65,5,1
66,0,0
67,2,1
68,8,2
69,6,1
70,0,0
71,0,0
72,2,1
73,11,2
74,12,2
75,8,2
76,0,0
77,3,1
78,1,1
79,10,2
80,9,2
81,3,1
82,1,1
83,10,2
84,4,1
85,0,0
86,3,1
87,10,2
88,0,0
89,0,0
90,1,1
91,9,2
92,3,1
93,4,1
94,1,1
95,6,1
96,0,0
97,0,0
98,0,0
99,1,1
100,10,2
101,2,1
102,0,0
103,4,1
104,1,1
105,10,2
106,0,0
107,8,2
108,11,2
109,10,2
110,7,2
111,3,1
112,10,2
113,8,2
114,11,2
115,0,0
116,0,0
117,0,0
118,9,2
119,4,1
120,0,0
121,0,0
122,10,2
123,7,2
124,2,1
125,2,1
126,8,2
127,0,0
128,0,0
129,12,2
130,5,1
131,12,2
132,0,0
133,1,1
134,3,1
135,0,0
136,7,2
137,12,2
138,6,1
139,5,1
140,12,2
141,12,2
142,0,0
143,12,2
144,0,0
145,0,0
146,4,1
147,0,0
148,0,0
149,0,0
150,7,2
